time,log10_antibodies_mean,log10_antibodies_median,log10_antibodies_95ci_lower,log10_antibodies_95ci_upper,susceptibility_mean,susceptibility_median,susceptibility_95ci_lower,susceptibility_95ci_upper
0,1.7497349548430146,1.8680601731324735,-0.19700688129804775,3.0491803455601,0.8359778394313169,0.9292891154569125,0.25243790998778404,0.9998738015039631
1,1.7440946512579467,1.8631957668183836,-0.20804716261452358,3.04715920096823,0.8371585194754357,0.9302736246191428,0.25362213198331846,0.9998780470416315
2,1.738486267968134,1.858499497856541,-0.21815995891676493,3.045108898993881,0.8383301804588406,0.9312120516505542,0.254827182858798,0.9998818104559105
3,1.7328785288497537,1.8530819356521517,-0.22899499587392502,3.043024158567539,0.8394953881912582,0.932280086557595,0.25605633332264327,0.9998857139138237
4,1.7273872415977465,1.8477524569208377,-0.23839205074974523,3.041120876013104,0.8405809059534604,0.9333157260965335,0.25718230772626793,0.9998889946572238
5,3.260029079970789,3.259302919385317,2.6600583152194934,3.8631686762757846,0.1838074340660999,0.14969032086508277,0.02636456974523209,0.5301200454795489
6,3.417109992683431,3.41692734050882,2.8204494169048107,4.016415539321323,0.12700861213862286,0.09746908428699552,0.01655976117280304,0.40695053400043835
7,3.4667986045176993,3.466477157101031,2.8703896795694224,4.064732047508371,0.1122659169545349,0.08476701458525573,0.014289155617490699,0.3701901927357489
8,3.484013232072722,3.483967394871864,2.887771481808322,4.08195365974965,0.10750298743813312,0.08065417275024692,0.013556374876071578,0.35771752111782185
9,3.489179213281253,3.4891738220941773,2.8930179824601514,4.087801263327108,0.1061144760925675,0.07946547658272504,0.013316087540523191,0.35398945330804155
10,3.4894011656114903,3.489391380170381,2.893480990250964,4.087018039945281,0.10606650289539339,0.07941615555470892,0.013348027868571071,0.35366129113913736
11,3.487631054128553,3.487835147002949,2.891876759772682,4.084866628694972,0.10655768988151675,0.07976957501851265,0.01343614995231032,0.35479889169867446
12,3.484996322196715,3.4852150630098544,2.889416198372406,4.082996618149033,0.10728637099813877,0.0803678392209582,0.013513206162043725,0.35654693852019326
13,3.482022670620548,3.482032888156538,2.886600347880602,4.080272978632588,0.1081135314875936,0.08109995623576155,0.013626223655546933,0.358552082467151
14,3.478815610323807,3.47898602475691,2.8835337861139108,4.076600144595511,0.10901119735103784,0.08180663426087162,0.013780105632666741,0.3607413967581271
15,3.4756102329532523,3.476214005394697,2.88046825825364,4.0739923200391965,0.1099157868545572,0.08245443504562616,0.013890405594468452,0.36293580497690825
16,3.4723237056068728,3.4729815614176855,2.877091120381391,4.07093349917884,0.11085081139262207,0.08321572773140673,0.014020891885486478,0.36535987027813543
17,3.4689549786657548,3.469439284257331,2.8723225945180695,4.068134693685804,0.111816524419282,0.0840573262816648,0.014141340703990722,0.36879426639920476
18,3.4656406944189753,3.466140617477413,2.8688534649863078,4.065381603211035,0.11277488645201315,0.0848479897981623,0.014260819102385129,0.37130119305093007
19,3.462345905560008,3.4625686457765417,2.866757399454204,4.061137317009941,0.11373643465942883,0.08571176436394166,0.0144469639417045,0.37281928322717867
20,3.458945915154598,3.4589603889928684,2.8625203682267966,4.058518415313081,0.11473618495980886,0.08659239836985345,0.014563015421630805,0.37589562615508737
21,3.4554234463636617,3.4554617445579083,2.8590157108185683,4.055918659032027,0.11577903611626467,0.08745409254518319,0.014679129314060756,0.3784478217368848
22,3.4519423648376213,3.4517059178060614,2.85332960211047,4.054473194469043,0.11681801861499398,0.08838775154400527,0.014744078395764179,0.3826029059534341
23,3.4486026202376787,3.448321278664719,2.8487929818513003,4.05030620715506,0.11782573903408483,0.08923683929262673,0.014932910296164505,0.3859304011587714
24,3.445168863803871,3.44478219922304,2.8440764962881677,4.0481393172434945,0.1188705859054436,0.09013253220777687,0.015032044735925464,0.38940115761317495
25,3.4415437488775154,3.4409442161603794,2.8397787683144635,4.0438164469460265,0.11998107824789067,0.09111301846670578,0.01523175502479953,0.3925735580843776
26,3.4379566241756714,3.437198655310045,2.8349449088244683,4.03796813421175,0.12108969728043233,0.09207913923392164,0.01550610026772846,0.3961525613545057
27,3.434616332144383,3.4341553447234023,2.831720726366062,4.035150779778165,0.12213444562620766,0.09287089050765471,0.015639993052348884,0.3985459777214337
28,3.4311219672117454,3.430735837735387,2.8279886717077014,4.030519230494412,0.12323421020739281,0.09376779724377413,0.015862581029057958,0.4013224623922921
29,3.4273443775485424,3.426870184802345,2.8244852973533665,4.027881605175039,0.12442905630840617,0.09479107111401158,0.01599073277070431,0.4039346006316225
30,3.423675901964959,3.423565295641767,2.8203270160657956,4.024077266879612,0.12560242090498827,0.09567382198629978,0.016177366998023142,0.4070421118314123
31,3.4203301296070006,3.420519021120512,2.815301429092863,4.021628196979801,0.12668776009456123,0.09649399726264077,0.0162986446353208,0.4108076956538189
