time,log10_antibodies_mean,log10_antibodies_median,log10_antibodies_95ci_lower,log10_antibodies_95ci_upper,susceptibility_mean,susceptibility_median,susceptibility_95ci_lower,susceptibility_95ci_upper
0,1.7497349548430146,1.8680601731324735,-0.19700688129804775,3.0491803455601,0.9089397531402063,0.9709431415892796,0.4619588889375235,0.9999503628465777
1,1.7440946512579467,1.8631957668183836,-0.20804716261452358,3.04715920096823,0.909667998905101,0.971365571156495,0.46351657483325553,0.9999520328506163
2,1.738486267968134,1.858499497856541,-0.21815995891676493,3.045108898993881,0.9103915684740023,0.9717677374000522,0.4650974605320884,0.9999535132017493
3,1.7328785288497537,1.8530819356521517,-0.22899499587392502,3.043024158567539,0.9111111012495158,0.9722248670177724,0.4667056194515762,0.9999550486323566
4,1.7273872415977465,1.8477524569208377,-0.23839205074974523,3.041120876013104,0.911743644816043,0.9726675412079823,0.46817448308812964,0.9999563391117102
5,3.260029079970789,3.259302919385317,2.6600583152194934,3.8631686762757846,0.3358060780396938,0.30920491502729364,0.06441515577032139,0.7415076191559075
6,3.417109992683431,3.41692734050882,2.8204494169048107,4.016415539321323,0.24950211870592884,0.21543423214815216,0.04105629650699571,0.6356670557685801
7,3.4667986045176993,3.466477157101031,2.8703896795694224,4.064732047508371,0.22523494591753132,0.1906057164811536,0.035548239916998486,0.5991181257285938
8,3.484013232072722,3.483967394871864,2.887771481808322,4.08195365974965,0.21720232383007565,0.18238095508527885,0.03376258670651386,0.586110280788016
9,3.489179213281253,3.4891738220941773,2.8930179824601514,4.087801263327108,0.2148378248014052,0.17998651584734426,0.03317618893449037,0.5821593923504264
10,3.4894011656114903,3.489391380170381,2.893480990250964,4.087018039945281,0.2147491696375454,0.17988699730874363,0.03325416055622785,0.5818102087417946
11,3.487631054128553,3.487835147002949,2.891876759772682,4.084866628694972,0.21557615777402256,0.1805998186431289,0.03346924241476067,0.5830197107131098
12,3.484996322196715,3.4852150630098544,2.889416198372406,4.082996618149033,0.21680450515364674,0.18180489850879802,0.033657269131073766,0.5848728891852323
13,3.482022670620548,3.482032888156538,2.886600347880602,4.080272978632588,0.21819606822661772,0.18327690684287123,0.03393296604280587,0.5869907134084424
14,3.478815610323807,3.47898602475691,2.8835337861139108,4.076600144595511,0.21970302649382614,0.1846949674927989,0.03430819713842975,0.5892934391573618
15,3.4756102329532523,3.476214005394697,2.88046825825364,4.0739923200391965,0.221217278309953,0.1859924717302633,0.03457704903715918,0.591591462879405
16,3.4723237056068728,3.4729815614176855,2.877091120381391,4.07093349917884,0.22277795284586618,0.1875143556862549,0.03489498854202545,0.594118467340503
17,3.4689549786657548,3.469439284257331,2.8723225945180695,4.068134693685804,0.2243855343153887,0.18919309454159877,0.035188360207558916,0.5976781158092958
18,3.4656406944189753,3.466140617477413,2.8688534649863078,4.065381603211035,0.22597603110284972,0.19076672161045088,0.035479262661149244,0.6002613667454677
19,3.462345905560008,3.4625686457765417,2.866757399454204,4.061137317009941,0.22756640660463803,0.19248198467671823,0.035932273570053595,0.6018194781422309
20,3.458945915154598,3.4589603889928684,2.8625203682267966,4.058518415313081,0.2292152016706275,0.19422657477238753,0.036214573180579794,0.6049627541974626
21,3.4554234463636617,3.4554617445579083,2.8590157108185683,4.055918659032027,0.23093080012756673,0.19592960132022663,0.03649692541942302,0.6075561823905021
22,3.4519423648376213,3.4517059178060614,2.85332960211047,4.054473194469043,0.2326350523633329,0.19777035952895244,0.0366548183627346,0.611750948410248
23,3.4486026202376787,3.448321278664719,2.8487929818513003,4.05030620715506,0.2342812474169411,0.19944033381893378,0.0371136971726988,0.6150859035923993
24,3.445168863803871,3.44478219922304,2.8440764962881677,4.0481393172434945,0.2359823672660825,0.20119780812254268,0.03735449834957338,0.6185416488733291
25,3.4415437488775154,3.4409442161603794,2.8397787683144635,4.0438164469460265,0.23778565017578984,0.2031167782118848,0.03783938337489175,0.6216801673290966
26,3.4379566241756714,3.437198655310045,2.8349449088244683,4.03796813421175,0.23957980762086267,0.20500265920613744,0.03850500215342798,0.625198058666163
27,3.434616332144383,3.4341553447234023,2.831720726366062,4.035150779778165,0.2412626619468937,0.20654450316420148,0.03882965421287441,0.6275371876349215
28,3.4311219672117454,3.430735837735387,2.8279886717077014,4.030519230494412,0.2430294477006159,0.2082871515613532,0.0393690772500873,0.6302373352118297
29,3.4273443775485424,3.426870184802345,2.8244852973533665,4.027881605175039,0.24494500808287833,0.21027018645310858,0.039679478112778756,0.6327646375617887
30,3.423675901964959,3.423565295641767,2.8203270160657956,4.024077266879612,0.24681776272026437,0.21197651384060928,0.04013131720212532,0.6357549291091381
31,3.4203301296070006,3.420519021120512,2.815301429092863,4.021628196979801,0.2485400723966149,0.21355826055087337,0.04042479293536623,0.6393549543139625
32,3.416741466656221,3.417246808749805,2.8118770958109964,4.0180871038693295,0.2503910658066464,0.21526688319617093,0.040852767707889565,0.6417990248930633
